Index(20ms),Raw,DC Level,AC Level,AC/DC ratio(%),peaks
142.000000,39492.000000,39477.738095,14.261905,0.036126,
143.000000,39521.000000,39477.738095,43.261905,0.109586,
144.000000,39514.000000,39477.738095,36.261905,0.091854,
145.000000,39559.000000,39477.738095,81.261905,0.205842,
146.000000,39568.000000,39477.738095,90.261905,0.228640,
147.000000,39577.000000,39477.738095,99.261905,0.251438,
148.000000,39573.000000,39477.738095,95.261905,0.241305,
149.000000,39559.000000,39477.738095,81.261905,0.205842,
150.000000,39551.000000,39477.738095,73.261905,0.185578,
151.000000,39573.000000,39477.738095,95.261905,0.241305,
152.000000,39576.000000,39477.738095,98.261905,0.248905,
153.000000,39596.000000,39477.738095,118.261905,0.299566,
154.000000,39572.000000,39477.738095,94.261905,0.238772,
155.000000,39560.000000,39477.738095,82.261905,0.208375,
156.000000,39569.000000,39477.738095,91.261905,0.231173,
157.000000,39572.000000,39477.738095,94.261905,0.238772,
158.000000,39591.000000,39477.738095,113.261905,0.286901,
159.000000,39598.000000,39477.738095,120.261905,0.304632,
160.000000,39619.000000,39477.738095,141.261905,0.357827,
161.000000,39625.000000,39477.738095,147.261905,0.373025,
162.000000,39627.000000,39477.738095,149.261905,0.378091,166.000000,local max, 5
163.000000,39556.000000,39477.738095,78.261905,0.198243,
164.000000,39482.000000,39477.738095,4.261905,0.010796,
165.000000,39414.000000,39477.738095,-63.738095,-0.161453,
166.000000,39344.000000,39477.738095,-133.738095,-0.338768,
167.000000,39342.000000,39477.738095,-135.738095,-0.343835,
168.000000,39327.000000,39477.738095,-150.738095,-0.381831,
169.000000,39321.000000,39477.738095,-156.738095,-0.397029,
170.000000,39339.000000,39477.738095,-138.738095,-0.351434,
171.000000,39336.000000,39477.738095,-141.738095,-0.359033,
172.000000,39326.000000,39477.738095,-151.738095,-0.384364,
173.000000,39315.000000,39477.738095,-162.738095,-0.412228,
174.000000,39362.000000,39477.738095,-115.738095,-0.293173,
175.000000,39350.000000,39477.738095,-127.738095,-0.323570,
176.000000,39356.000000,39477.738095,-121.738095,-0.308372,
177.000000,39338.000000,39477.738095,-139.738095,-0.353967,
178.000000,39320.000000,39477.738095,-157.738095,-0.399562,
179.000000,39299.000000,39477.738095,-178.738095,-0.452757,
180.000000,39292.000000,39354.777778,-62.777778,-0.159518,335.000000,local min,6
181.000000,39325.000000,39354.777778,-29.777778,-0.075665,
182.000000,39326.000000,39354.777778,-28.777778,-0.073124,
183.000000,39356.000000,39354.777778,1.222222,0.003106,
184.000000,39336.000000,39354.777778,-18.777778,-0.047714,
185.000000,39369.000000,39354.777778,14.222222,0.036138,
186.000000,39404.000000,39354.777778,49.222222,0.125073,
187.000000,39430.000000,39354.777778,75.222222,0.191139,
188.000000,39447.000000,39354.777778,92.222222,0.234336,
189.000000,39474.000000,39354.777778,119.222222,0.302942,
190.000000,39485.000000,39354.777778,130.222222,0.330893,193.000000,local max, 6
191.000000,39478.000000,39354.777778,123.222222,0.313106,
192.000000,39454.000000,39354.777778,99.222222,0.252122,
193.000000,39373.000000,39354.777778,18.222222,0.046302,
194.000000,39301.000000,39354.777778,-53.777778,-0.136649,
195.000000,39219.000000,39354.777778,-135.777778,-0.345010,
196.000000,39175.000000,39354.777778,-179.777778,-0.456813,
197.000000,39142.000000,39354.777778,-212.777778,-0.540666,
198.000000,39138.000000,39328.555556,-190.555556,-0.484522,347.000000,local min,7
199.000000,39152.000000,39328.555556,-176.555556,-0.448925,
200.000000,39142.000000,39328.555556,-186.555556,-0.474351,
201.000000,39157.000000,39328.555556,-171.555556,-0.436211,
202.000000,39200.000000,39328.555556,-128.555556,-0.326876,
203.000000,39231.000000,39328.555556,-97.555556,-0.248053,
204.000000,39230.000000,39328.555556,-98.555556,-0.250595,
205.000000,39256.000000,39328.555556,-72.555556,-0.184486,
206.000000,39258.000000,39328.555556,-70.555556,-0.179400,
